work_order_id,part,qty,start_date,due_date
wo-1,part,10,0,4000
wo-2,part,10,120,4120
wo-3,part,10,240,4240
wo-4,part,10,360,4360
wo-5,part,10,480,4480
wo-6,part,10,600,4600
wo-7,part,10,720,4720
wo-8,part,10,840,4840
wo-9,part,10,960,4960
wo-10,part,10,1080,5080
wo-11,part,10,1200,5200
wo-12,part,10,1320,5320
wo-13,part,10,1440,5440
wo-14,part,10,1560,5560
wo-15,part,10,1680,5680
wo-16,part,10,1800,5800
wo-17,part,10,1920,5920
wo-18,part,10,2040,6040
wo-19,part,10,2160,6160
wo-20,part,10,2280,6280
wo-21,part,10,2400,6400
wo-22,part,10,2520,6520
wo-23,part,10,2640,6640
wo-24,part,10,2760,6760
wo-25,part,10,2880,6880
wo-26,part,10,3000,7000
wo-27,part,10,3120,7120
wo-28,part,10,3240,7240
wo-29,part,10,3360,7360
wo-30,part,10,3480,7480
